bowler,runs_conceded,overs_bowled,economy
KM Asif,232,22.166666666666668,10.466165413533835
V Sehwag,236,22.5,10.488888888888889
AA Kazi,21,2.0,10.5
SS Agarwal,42,4.0,10.5
AP Dole,114,10.833333333333334,10.523076923076923
R Parag,307,29.166666666666668,10.525714285714285
Jaskaran Singh,174,16.5,10.545454545454545
Sikandar Raza,146,13.833333333333334,10.55421686746988
Rasikh Salam,341,32.166666666666664,10.601036269430052
Shoaib Malik,87,8.166666666666666,10.653061224489797
D Salunkhe,80,7.5,10.666666666666666
LI Meriwala,32,3.0,10.666666666666666
Yash Thakur,702,65.66666666666667,10.690355329949238
AJ Hosein,41,3.8333333333333335,10.695652173913043
AA Noffke,41,3.8333333333333335,10.695652173913043
RJW Topley,182,17.0,10.705882352941176
LJ Wright,125,11.666666666666666,10.714285714285715
Yudhvir Singh,125,11.666666666666666,10.714285714285715
MA Khote,52,4.833333333333333,10.758620689655173
Mukesh Kumar,707,65.33333333333333,10.821428571428573
R Ninan,65,6.0,10.833333333333334
CJ Anderson,525,48.333333333333336,10.86206896551724
SD Chitnis,62,5.666666666666667,10.941176470588236
DG Nalkande,150,13.666666666666666,10.975609756097562
GS Sandhu,86,7.833333333333333,10.97872340425532
MJ Henry,183,16.666666666666668,10.979999999999999
TK Curran,432,39.333333333333336,10.983050847457626
RW Price,33,3.0,11.0
RA Shaikh,11,1.0,11.0
S Vidyut,22,2.0,11.0
MB Parmar,33,3.0,11.0
VR Iyer,145,13.166666666666666,11.012658227848101
JA Richardson,162,14.666666666666666,11.045454545454547
WG Jacks,100,9.0,11.11111111111111
RG More,63,5.666666666666667,11.117647058823529
L Ablish,76,6.833333333333333,11.121951219512196
G Coetzee,357,31.833333333333332,11.214659685863875
D Kalyankrishna,88,7.833333333333333,11.23404255319149
CJ Dala,34,3.0,11.333333333333334
LMP Simmons,34,3.0,11.333333333333334
K Khejroliya,221,19.5,11.333333333333334
Y Nagar,125,11.0,11.363636363636363
B Geeves,91,8.0,11.375
P Amarnath,241,21.166666666666668,11.385826771653543
SZ Mulani,57,5.0,11.4
Sumit Kumar,38,3.3333333333333335,11.4
Y Prithvi Raj,57,5.0,11.4
R Shukla,217,19.0,11.421052631578947
A Uniyal,67,5.833333333333333,11.485714285714286
JJ van der Wath,134,11.666666666666666,11.485714285714286
R Sanjay Yadav,23,2.0,11.5
Nithish Kumar Reddy,208,18.0,11.555555555555555
SA Abbott,104,9.0,11.555555555555555
S Narwal,203,17.5,11.6
KJ Abbott,182,15.666666666666666,11.617021276595745
K Santokie,91,7.833333333333333,11.617021276595745
R Powell,35,3.0,11.666666666666666
TM Head,113,9.666666666666666,11.689655172413794
A Kamboj,115,9.833333333333334,11.694915254237287
A Dananjaya,47,4.0,11.75
Naman Dhir,55,4.666666666666667,11.785714285714285
MK Tiwary,83,7.0,11.857142857142858
TP Sudhindra,137,11.5,11.91304347826087
RR Bose,24,2.0,12.0
RA Tripathi,12,1.0,12.0
Akash Deep,324,27.0,12.0
Gulbadin Naib,12,1.0,12.0
IC Porel,42,3.5,12.0
BJ Rohrer,12,1.0,12.0
DA Warner,2,0.16666666666666666,12.0
LRPL Taylor,24,2.0,12.0
OF Smith,179,14.833333333333334,12.067415730337078
DJ Mitchell,97,8.0,12.125
CL White,86,7.0,12.285714285714286
Vivrant Sharma,37,3.0,12.333333333333334
Abdul Samad,113,9.0,12.555555555555555
R Shepherd,260,20.5,12.682926829268293
LB Williams,74,5.833333333333333,12.685714285714287
JPR Scantlebury-Searles,89,7.0,12.714285714285714
Arshad Khan,282,22.0,12.818181818181818
MJ Suthar,26,2.0,13.0
Mandeep Singh,26,2.0,13.0
C Ganapathy,13,1.0,13.0
Aman Hakim Khan,13,1.0,13.0
VS Yeligati,61,4.666666666666667,13.071428571428571
D Jansen,53,4.0,13.25
H Sharma,62,4.666666666666667,13.285714285714285
Arshad Khan (2),25,1.8333333333333333,13.636363636363637
P Ray Barman,56,4.0,14.0
Gurnoor Brar,42,3.0,14.0
Abdur Razzak,29,2.0,14.5
Mohit Rathee,29,2.0,14.5
S Joseph,51,3.5,14.571428571428571
SPD Smith,5,0.3333333333333333,15.0
Mashrafe Mortaza,59,3.8333333333333335,15.391304347826086
KT Maphaka,90,5.833333333333333,15.428571428571429
MG Neser,62,4.0,15.5
Sunny Gupta,47,3.0,15.666666666666666
S Midhun,29,1.8333333333333333,15.818181818181818
F du Plessis,16,1.0,16.0
D Brevis,8,0.5,16.0
L Wood,94,5.833333333333333,16.114285714285714
S Sriram,49,3.0,16.333333333333332
CK Kapugedera,49,2.8333333333333335,17.294117647058822
RR Bhatkal,35,2.0,17.5
P Prasanth,18,1.0,18.0
SN Khan,6,0.3333333333333333,18.0
NA Saini,35,1.8333333333333333,19.09090909090909
B Chipli,20,1.0,20.0
LPC Silva,21,1.0,21.0
I Malhotra,23,1.0,23.0
Atharva Taide,4,0.16666666666666666,24.0
YBK Jaiswal,6,0.16666666666666666,36.0
